YEAR,REGION,GENDER,AGE_GROUP,STUDENT_COUNT,POPULATION,STUDENTS_PER_100K
2022,Nouvelle-Aquitaine,Total,55-59 ans,3,414459,70
2022,Nouvelle-Aquitaine,Total,60 ans ou plus,3,1927532,20
2022,Occitanie,F,20-24 ans,,165787,
2022,Occitanie,F,25-29 ans,1,159618,60
2022,Occitanie,F,30-34 ans,5,176199,280
2022,Occitanie,F,35-39 ans,3,184360,160
2022,Occitanie,F,40-44 ans,5,190696,260
2022,Occitanie,F,45-49 ans,1,192843,50
2022,Occitanie,F,50-54 ans,1,205697,50
2022,Occitanie,F,55-59 ans,2,208809,100
2022,Occitanie,F,60 ans ou plus,,1002662,
2022,Occitanie,M,20-24 ans,2,173775,120
2022,Occitanie,M,25-29 ans,10,161274,620
2022,Occitanie,M,30-34 ans,14,169648,830
2022,Occitanie,M,35-39 ans,12,175287,680
2022,Occitanie,M,40-44 ans,6,182583,330
2022,Occitanie,M,45-49 ans,3,185979,160
2022,Occitanie,M,50-54 ans,,197135,
2022,Occitanie,M,55-59 ans,2,196716,100
2022,Occitanie,M,60 ans ou plus,1,812218,10
2022,Occitanie,Non renseigne,25-29 ans,5,320892,160
2022,Occitanie,Non renseigne,30-34 ans,17,345847,490
2022,Occitanie,Non renseigne,35-39 ans,9,359647,250
2022,Occitanie,Non renseigne,40-44 ans,7,373279,190
2022,Occitanie,Non renseigne,45-49 ans,4,378822,110
2022,Occitanie,Non renseigne,50-54 ans,1,402832,20
2022,Occitanie,Non renseigne,55-59 ans,2,405525,50
2022,Occitanie,Non renseigne,60 ans ou plus,2,1814880,10
2022,Occitanie,Total,20-24 ans,2,339562,60
2022,Occitanie,Total,25-29 ans,16,320892,500
2022,Occitanie,Total,30-34 ans,36,345847,1040
2022,Occitanie,Total,35-39 ans,24,359647,670
2022,Occitanie,Total,40-44 ans,18,373279,480
2022,Occitanie,Total,45-49 ans,8,378822,210
2022,Occitanie,Total,50-54 ans,2,402832,50
2022,Occitanie,Total,55-59 ans,6,405525,150
2022,Occitanie,Total,60 ans ou plus,3,1814880,20
2022,Pays de la Loire,F,20-24 ans,,104598,
2022,Pays de la Loire,F,25-29 ans,2,100624,200
2022,Pays de la Loire,F,30-34 ans,1,111621,90
2022,Pays de la Loire,F,35-39 ans,1,119787,80
2022,Pays de la Loire,F,40-44 ans,3,122673,240
2022,Pays de la Loire,F,45-49 ans,2,124709,160
2022,Pays de la Loire,F,50-54 ans,1,125881,80
2022,Pays de la Loire,F,55-59 ans,2,123747,160
2022,Pays de la Loire,F,60 ans ou plus,,597045,
2022,Pays de la Loire,M,20-24 ans,,112221,
2022,Pays de la Loire,M,25-29 ans,4,102069,390
2022,Pays de la Loire,M,30-34 ans,7,111092,630
2022,Pays de la Loire,M,35-39 ans,7,116874,600
2022,Pays de la Loire,M,40-44 ans,,121601,
2022,Pays de la Loire,M,45-49 ans,3,125732,240
2022,Pays de la Loire,M,50-54 ans,2,125268,160
2022,Pays de la Loire,M,55-59 ans,1,120546,80
2022,Pays de la Loire,M,60 ans ou plus,,477931,
2022,Pays de la Loire,Non renseigne,25-29 ans,4,202693,200
2022,Pays de la Loire,Non renseigne,30-34 ans,7,222713,310
2022,Pays de la Loire,Non renseigne,35-39 ans,6,236661,250
2022,Pays de la Loire,Non renseigne,40-44 ans,5,244274,200
2022,Pays de la Loire,Non renseigne,45-49 ans,3,250441,120
2022,Pays de la Loire,Non renseigne,50-54 ans,4,251149,160
2022,Pays de la Loire,Total,20-24 ans,,216819,
2022,Pays de la Loire,Total,25-29 ans,10,202693,490
2022,Pays de la Loire,Total,30-34 ans,15,222713,670
2022,Pays de la Loire,Total,35-39 ans,14,236661,590
2022,Pays de la Loire,Total,40-44 ans,8,244274,330
2022,Pays de la Loire,Total,45-49 ans,8,250441,320
2022,Pays de la Loire,Total,50-54 ans,7,251149,280
2022,Pays de la Loire,Total,55-59 ans,3,244293,120
2022,Pays de la Loire,Total,60 ans ou plus,,1074976,
2022,Provence-Alpes-Côte d'Azur,F,20-24 ans,,133517,
2022,Provence-Alpes-Côte d'Azur,F,25-29 ans,4,133189,300
2022,Provence-Alpes-Côte d'Azur,F,30-34 ans,2,153231,130
2022,Provence-Alpes-Côte d'Azur,F,35-39 ans,1,161490,60
2022,Provence-Alpes-Côte d'Azur,F,40-44 ans,4,163862,240
2022,Provence-Alpes-Côte d'Azur,F,45-49 ans,1,165283,60
2022,Provence-Alpes-Côte d'Azur,F,50-54 ans,1,177411,60
2022,Provence-Alpes-Côte d'Azur,F,55-59 ans,1,183572,50
2022,Provence-Alpes-Côte d'Azur,F,60 ans ou plus,,877683,
2022,Provence-Alpes-Côte d'Azur,M,20-24 ans,,139803,
2022,Provence-Alpes-Côte d'Azur,M,25-29 ans,4,130652,310
2022,Provence-Alpes-Côte d'Azur,M,30-34 ans,17,144254,1180
2022,Provence-Alpes-Côte d'Azur,M,35-39 ans,8,149106,540
2022,Provence-Alpes-Côte d'Azur,M,40-44 ans,6,154003,390
2022,Provence-Alpes-Côte d'Azur,M,45-49 ans,4,157331,250
2022,Provence-Alpes-Côte d'Azur,M,50-54 ans,2,166314,120
2022,Provence-Alpes-Côte d'Azur,M,55-59 ans,2,168350,120
2022,Provence-Alpes-Côte d'Azur,M,60 ans ou plus,2,686518,30
2022,Provence-Alpes-Côte d'Azur,Non renseigne,25-29 ans,8,263841,300
2022,Provence-Alpes-Côte d'Azur,Non renseigne,30-34 ans,11,297485,370
2022,Provence-Alpes-Côte d'Azur,Non renseigne,35-39 ans,6,310596,190
2022,Provence-Alpes-Côte d'Azur,Non renseigne,40-44 ans,8,317865,250
2022,Provence-Alpes-Côte d'Azur,Non renseigne,45-49 ans,4,322614,120
2022,Provence-Alpes-Côte d'Azur,Non renseigne,50-54 ans,2,343725,60
2022,Provence-Alpes-Côte d'Azur,Non renseigne,55-59 ans,1,351922,30
2022,Provence-Alpes-Côte d'Azur,Non renseigne,60 ans ou plus,1,1564201,10
2022,Provence-Alpes-Côte d'Azur,Total,20-24 ans,,273320,
2022,Provence-Alpes-Côte d'Azur,Total,25-29 ans,16,263841,610
2022,Provence-Alpes-Côte d'Azur,Total,30-34 ans,30,297485,1010
2022,Provence-Alpes-Côte d'Azur,Total,35-39 ans,15,310596,480
2022,Provence-Alpes-Côte d'Azur,Total,40-44 ans,18,317865,570
2022,Provence-Alpes-Côte d'Azur,Total,45-49 ans,9,322614,280
2022,Provence-Alpes-Côte d'Azur,Total,50-54 ans,5,343725,150
2022,Provence-Alpes-Côte d'Azur,Total,55-59 ans,4,351922,110
2022,Provence-Alpes-Côte d'Azur,Total,60 ans ou plus,3,1564201,20
2022,Île-de-France,F,20-24 ans,5,422554,120
2022,Île-de-France,F,25-29 ans,12,438011,270
2022,Île-de-France,F,30-34 ans,37,465599,790
2022,Île-de-France,F,35-39 ans,31,450961,690
2022,Île-de-France,F,40-44 ans,34,434771,780
2022,Île-de-France,F,45-49 ans,16,414197,390
2022,Île-de-France,F,50-54 ans,4,403221,100
2022,Île-de-France,F,55-59 ans,6,393487,150
2022,Île-de-France,F,60 ans ou plus,1,1452302,10
2022,Île-de-France,M,20-24 ans,1,410020,20
2022,Île-de-France,M,25-29 ans,41,415647,990
